1,Cliff Creek Crossing Dr,Dallas,TX,
2,2800 Katy Hockley Cut Off Rd,Katy,TX,
3,25000 block of Elmley Place,Spring,TX,
4,12929 Northwest Fwy,Houston,TX,
5,1314 Clinton Ave,Fort Worth,TX,
6,Apple Valley Dr,San Antonio,TX,
7,Kimberly Glen Ln and Postwood Glen Ln,Spring,TX,
8,16900 block of Jenikay Ln,Houston,TX,
9,4700 block of Midway Dr,Temple,TX,
10,2107 Lyndon Creek Ln,Houston,TX,
11,11600 block of Vinedale Dr,Houston,TX,
12,4000 W 34th St,Houston,TX,
13,1400 block of East Power Ave,Victoria,TX,
14,N/A,,TX,
15,13000 block of Duncum St,Houston,TX,
16,4000 block of Wintergreen Dr,Humble,TX,
17,1800 block of Bickers St,Dallas,TX,
18,9600 block of Beckleycrest Ave,Dallas,TX,
19,1400 block of Tumbleweed Tr,Roanoke (Northlake),TX,
20,1000 block of County Rd 678,Brazoria,TX,
21,200 block of Roberts St,San Antonio,TX,
22,4849 Haverwood Ln,Dallas,TX,
23,Southminster Dr and Ashcroft Dr,Houston,TX,
24,Southminster Dr,Houston,TX,
25,5100 block of Mountain Springs Tr,Fort Worth,TX,
26,6700 block of Atasca Dr,Humble (Atascocita),TX,
27,FM 1209,Rusk,TX,
28,Schroeder Ave,San Angelo,TX,
29,US-90 and TX-326,Nome,TX,
30,N/A,San Antonio,TX,
31,2300 block of W Salinas,San Antonio,TX,
32,19435 Ambrosia Falls Dr,Tomball,TX,
33,1100 S Loop 336,Conroe,TX,
34,CR 418,Premont,TX,
35,7109 W Loop 1604 N,San Antonio,TX,
36,31700 block of Dunham Lake Dr,Cypress,TX,
37,5518 Culebra Rd,San Antonio,TX,
38,8400 block of Knox St,Houston,TX,
39,N/A,Roby,TX,
40,TX 207 and Franklin St,Borger,TX,
41,10900 block of Telephone Rd,Houston,TX,
42,1100 block of Fairview Dr,Rockwall,TX,
43,N/A,Christine,TX,
44,11300 block of Roszell St,San Antonio,TX,
45,N Dale St,Stephenville,TX,
46,306 S 25th St,Temple,TX,
47,TX 7,Martinsville,TX,
48,1300 block of Loop Rd,Beaumont,TX,
49,2700 block of Waldron Rd,Corpus Christi,TX,
50,7100 block of Dale Rd,El Paso,TX,
51,4721 S Cooper St,Arlington,TX,
52,5010 I-27,Lubbock,TX,
53,Albany Dr,Mabank,TX,
54,N/A,Texarkana,TX,
55,1400 block of W Gulf Bank Rd,Houston,TX,
56,1100 block of W St Francis St,Brownsville,TX,
57,Lynn Cir and 29th St,Texas City,TX,
58,3900 block of Lawnwood St,Fort Worth,TX,
59,8125 Mills Rd,Houston,TX,
60,1000 block of E Walnut St,Hillsboro,TX,
61,1500 block of Wilson,Deer Park,TX,
62,6300 block of Feather Creek Dr,Houston,TX,
63,8000 block of Grow Ln,Houston,TX,
64,N/A,Bulverde,TX,
65,110 Mercedes Street,San Antonio,TX,
66,9000 block of CR 245,Concepcion,TX,
67,2600 block of FM 418,Kountze,TX,
68,5400 block of Wilson Rd,Fort Worth,TX,
69,8000 block of Boone St,Houston,TX,
70,Whitehurst Dr and Skillman St,Dallas,TX,
71,CR 3560,Cleveland (Plum Grove),TX,
72,19000 block of Highland,Tornillo,TX,
73,3700 block of Burning Tree Ln,Garland,TX,
74,5000 block of CR 48,Manvel,TX,
75,Highway 770 North,Saratoga,TX,
76,500 block of Park Grove Dr,San Antonio,TX,
77,3500 block of Parker Rd E,Haltom City,TX,
78,9500 block of Timber Trail,Scurry,TX,
79,10806 Cobblecreek Way,Missouri City,TX,
80,1509 Trigg Ln,Wichita Falls,TX,
81,400 block of E San Antonio St,New Braunfels,TX,
82,6200 block of Big Valley Dr,San Antonio,TX,
83,22900 block of Cielo Vista Dr,San Antonio,TX,
84,4700 block of 6th St,Bacliff,TX,
85,3100 block of Stag Road,Dallas,TX,
86,200 block of Baker,Houston,TX,
87,19900 block of River Brook Dr,Humble (Atascocita),TX,
88,1800 block of Edmund Blvd,San Angelo,TX,
89,1300 block of E Garnett,Gainesville,TX,
90,234 RR 1050,Concan,TX,
91,3134 Mission Gate,San Antonio,TX,
92,600 block of County Rd L,Lamesa,TX,
93,Amos St,Houston,TX,
94,CR 2342,Dayton,TX,
95,13800 block of Northlake Dr,Houston,TX,
96,700 block of E. Harris,San Angelo,TX,
97,9230 Saint Lo,Houston,TX,
98,1601 W 11th Place,Big Spring,TX,
99,N/A,Palestine,TX,
100,800 block of Upton St,San Angelo,TX,
101,2200 block of S Indiana,Brownsville,TX,
102,71st St and Utica Ave,Lubbock,TX,
103,1200 W 8th St,Freeport,TX,
104,21323 Finbury Oaks Lane,Katy,TX,
105,1000 block of Vaky St,Corpus Christi,TX,
106,24100 block of Acanthus,San Antonio,TX,
107,200 block of FM 1534,Whitney,TX,
108,800 block of W Green Ave,Killeen,TX,
109,4002 Corder St,Houston,TX,
110,400 Block of Hardy Circle,El Paso,TX,
111,4860 SW Loop 820,Fort Worth,TX,
112,N/A,Fort Worth,TX,
113,700 block of Hatton Hill Lane,Austin,TX,
114,21300 block of Greenham Dr.,Spring,TX,
115,1600 Block of North 8th Street,Lamesa,TX,
116,4235 Oak Shadows,Houston,TX,
117,500 block of FM 843,Lufkin,TX,
118,9th Street and Colcord Avenue,Waco,TX,
119,700 Dominik Drive,College Station,TX,
120,406 W Martinez St,Del Rio,TX,
121,Central Park Lane,College Station,TX,
122,1416 Meadowlane Terrace,Fort Worth,TX,
123,3712 North Elm Street,Fort Worth,TX,
124,N/A,,TX,
125,1200 block of Susan Avenue,Fort Worth,TX,
126,704 West Sul Ross Ave,Alpine,TX,
127,200 Bowser Cir,Terrell,TX,
128,200 block of Los Ranchitos,San Benito,TX,
129,500 block of Doherty Street,San Benito,TX,
130,300 block of Breckenridge Street,Texarkana,TX,
131,300 block of De Haven St,Houston,TX,
132,4000 block of East Texas 6,Alvin,TX,
133,3600 block of Hulen Park Circle,Fort Worth,TX,
134,9700 block of Shady Tree Ln,Houston,TX,
135,3600 block of Callaghan Road,San Antonio,TX,
136,N/A,Texas City,TX,
137,3400 block of Oxford,Alvin,TX,
138,Sageland Drive,Houston,TX,
139,Monica Drive,,TX,
140,2600 block of S.W 8th Avenue,Mineral Wells,TX,
141,3100 block of MacArthur Drive,Waco,TX,
142,8600 block of Star Creek Drive,San Antonio,TX,
143,Pipkin Street,Beaumont,TX,
144,3606 South Westmoreland Road,Dallas,TX,
145,1900 block of 46th Street,Lubbock,TX,
146,4200 block of Troy Lane,Arlington,TX,
147,Roth Forest Lane,Spring,TX,
148,1200 block of County Road 304,Bertram,TX,
149,5751 Green Hill Road,San Angelo,TX,
150,300 block of Anderson County Road 1370,Palestine,TX,
151,1400 block of 12th Street,Levelland,TX,
152,County Road 3825,Bridgeport,TX,
153,210 Stone Avenue,Paris,TX,
154,6300 block of Hanley Drive,Corpus Christi,TX,
155,2538 71st St,Lubbock,TX,
156,3300 block of Rock Creek Run,San Antonio,TX,
157,17437 Adams Trail,Forney,TX,
158,5200 block of Indian Springs Drive,Temple,TX,
159,5200 block of Indian Springs Road,Temple (Moffatt),TX,
160,900 block of Ruben Torres Boulevard,Brownsville,TX,
161,4100 block of Tumbleweed,Baytown,TX,
162,15400 block of Redbud Berry Way,Cypress,TX,
163,3600 block of Beheler Road,Elm Mott,TX,
164,5203 Dumfries Drive,Houston,TX,
165,30706 Eastridge Drive,Spring,TX,
166,123 Old Chigger Trail,Fort Worth (Watauga),TX,
167,10633 Strickland,Houston,TX,
168,900 block of East Scott Street,Gainesville,TX,
169,5300 block of West Gulf Bank,Houston,TX,
170,8300 block of Shoal Creek,San Antonio,TX,
171,300 block of Madrid,Universal City,TX,
172,4900 block of South Buckner Boulevard,Dallas,TX,
173,Farm to Market 2050 Rd,,TX,
174,18000 block of Yaupon Tr,Humble (Atascocita),TX,
175,N/A,,TX,
176,Neely Avenue,Midland,TX,
177,619 BIshop Drive,Killeen,TX,
178,3280 Central Mall Blvd.,Port Arthur,TX,
179,4600 block of Sorita Street,Mission,TX,
180,Canterbury Drive,San Antonio,TX,
181,3300 block of South Alameda Street,Corpus Christi,TX,
182,N/A,Pollok,TX,
183,1700 block of South Hamilton Street,San Antonio,TX,
184,2700 block of Faircrest Drive,Rockwall,TX,
185,Shadow Circle,New Braunfels,TX,
186,5600 block of Shallow Run,Fort Worth (Benbrook),TX,
187,1802 Beacon Street,San Angelo,TX,
188,2500 block of North Eastman Road,Longview,TX,
189,8442 Tavenor Lane,Houston,TX,
190,2200 block of 37th Street,Galveston,TX,
191,6th Street and Louisiana,Weslaco,TX,
192,1000 block of Cove Crest Trail,Fresno,TX,
193,5400 block of War Cloud Drive,San Antonio,TX,
194,19000 block of Puget Lane,Spring,TX,
195,Coit Road,Dallas,TX,
196,County Road 4010,,TX,
197,13600 block of North Central Expressway,Dallas,TX,
198,11500 Ferguson Road,Dallas,TX,
199,5615 Leeland,Houston,TX,
200,6215 Heatherbloom,Houston,TX,
201,500 block of Washington Street,Abilene,TX,
202,3600 block of Del Mar Court,Killeen,TX,
203,1100 block of Olive St,Texarkana,TX,
204,11290 Fondren,Houston,TX,
205,14425 Alief Clodine Rd,Houston,TX,
206,6301 Sierra Blanca,Houston,TX,
207,2300 block of Northeast 37th St.,Fort Worth,TX,
208,16800 block of Faring Road,Houston,TX,
209,1900 block of Imperial Stone Dr.,Houston,TX,
210,7400 block of Betanna,Houston,TX,
211,3900 block of Plymouth Drive,Garland,TX,
212,5900 block of Highland Village Dr.,Dallas,TX,
213,5800 block of Midcrown Drive,San Antonio,TX,
214,County Road 381,Medina County,TX,
215,Douglas Avenue,Colleyville,TX,
216,County Road 3823,Medina County,TX,
217,N/A,Navasota,TX,
218,FM 1409 and County Road 460,Dayton,TX,
219,Johnson Ranch Road and County Road 4016,Kaufman County,TX,
220,800 Kern Rd,Killeen,TX,
221,1200 block of Golden View Court,Arlington,TX,
222,4702 West Magnum Rd.,Houston,TX,
223,4700 block of West Mangum Road,Houston,TX,
224,N/A,Rice,TX,
225,N/A,Childress,TX,
226,4302 Falcon Meadow,Katy,TX,
227,N/A,Hale County,TX,
228,400 block of East Thomas Street,Atlanta,TX,
229,Texas County Road 4070,Woodville,TX,
230,3800 block of Reynosa Street,Corpus Christi,TX,
231,Force and Crown,Houston,TX,
232,325 Pruitt Ave.,San Antonio,TX,
233,200 block of Moonshine Hill,Humble,TX,
234,4200 block of Southwest Loop 410,San Antonio,TX,
235,Mountain View Lane,Pipe Creek,TX,
236,4600 East Houston St.,San Antonio,TX,
237,400 block of S. Pine St.,San Antonio,TX,
238,1100 S Seventh,Conroe,TX,
239,N/A,Texas City,TX,
240,N/A,Texas City,TX,
241,10100 Beechnut St,Houston,TX,
242,600 block of Destin Dr,Fort Worth,TX,
243,N/A,Ector County,TX,
244,1600 block of Saunders,Bryan,TX,
245,N/A,Bryan,TX,
246,N/A,Belton,TX,
247,Pine and E. Crockett St.,San Antonio,TX,
248,100 Debby Ln,Mineola,TX,
249,FM 1375 E,New Waverly,TX,
250,11400 block of Panay,Houston,TX,
251,N/A,Dallas,TX,
252,Co Rd 4764,Briar,TX,
253,6301 Ranchester,Houston,TX,
254,14678 FM 59,Athens,TX,
255,739 West William Cannon Dr,Austin,TX,
256,16000 block of US 385,Odessa,TX,
257,Evanston St,Houston,TX,
258,100 block of Becker St,Boerne,TX,
259,Isom Street,Houston,TX,
260,9820 North Freeway,Houston,TX,
261,County Road 2130,Emory,TX,
262,County Rd 3144,Corsicana,TX,
263,12800 block of Gotham Dr,Houston,TX,
264,N/A,Dallas,TX,
265,200 block of Madero,San Antonio,TX,
266,N/A,Aransas Pass,TX,
267,1100 block of TX 31,Kilgore,TX,
268,1100 block of TX-31,Kilgore,TX,
269,100 block of S. Broad,Lampasas County,TX,
270,610 Howard Street,Taylor,TX,
