id,incident_date,address,city,zip,county,tx,number_killed,number_injured,operations,city_or_county,state,m_zip,lat,long
1,2019-03-27,Cliff Creek Crossing Dr,Dallas,,NA,TX,0,1,N/A,Dallas,Texas,NA,NA,NA
2,2019-03-22,2800 Katy Hockley Cut Off Rd,Katy,,NA,TX,0,1,N/A,Katy,Texas,77493,29.813593,-95.80905
3,2019-03-18,25000 block of Elmley Place,Spring,,NA,TX,1,0,N/A,Spring,Texas,NA,NA,NA
4,2019-03-13,12929 Northwest Fwy,Houston,,NA,TX,1,0,N/A,Houston,Texas,77040,29.84331,-95.496284
5,2019-02-22,1314 Clinton Ave,Fort Worth,,NA,TX,0,1,N/A,Fort Worth,Texas,76164,32.775352,-97.34781
6,2019-02-11,Apple Valley Dr,San Antonio,,NA,TX,0,1,N/A,San Antonio,Texas,NA,NA,NA
7,2019-01-27,Kimberly Glen Ln and Postwood Glen Ln,Spring,,NA,TX,1,0,N/A,Spring,Texas,77373,30.048597,-95.34982
8,2019-01-22,16900 block of Jenikay Ln,Houston,,NA,TX,1,0,N/A,Houston,Texas,77084,29.844536,-95.65816
9,2019-01-19,4700 block of Midway Dr,Temple,,NA,TX,2,0,N/A,Temple,Texas,76502,31.077719,-97.405334
10,2019-01-19,2107 Lyndon Creek Ln,Houston,,NA,TX,1,0,N/A,Houston,Texas,77017,29.6791,-95.23414
11,2019-01-19,11600 block of Vinedale Dr,Houston,,NA,TX,1,0,N/A,Houston,Texas,77099,29.661154,-95.58298
12,2019-01-16,4000 W 34th St,Houston,,NA,TX,1,0,N/A,Houston,Texas,77092,29.817223,-95.4494
13,2019-01-13,1400 block of East Power Ave,Victoria,,NA,TX,0,1,N/A,Victoria,Texas,NA,NA,NA
14,2019-01-10,N/A,,,Montgomery,TX,0,1,N/A,Montgomery (county),Texas,NA,NA,NA
15,2018-12-15,13000 block of Duncum St,Houston,,NA,TX,1,0,N/A,Houston,Texas,NA,NA,NA
16,2018-12-04,4000 block of Wintergreen Dr,Humble,,NA,TX,0,1,N/A,Humble,Texas,77396,29.976269,-95.213486
17,2018-12-04,1800 block of Bickers St,Dallas,,NA,TX,1,0,N/A,Dallas,Texas,75212,32.78704,-96.84802
18,2018-11-18,9600 block of Beckleycrest Ave,Dallas,,NA,TX,1,0,N/A,Dallas,Texas,75232,32.631554,-96.83374
19,2018-11-17,1400 block of Tumbleweed Tr,Roanoke (Northlake),,NA,TX,1,0,N/A,Roanoke (Northlake),Texas,NA,NA,NA
20,2018-10-26,1000 block of County Rd 678,Brazoria,,NA,TX,0,1,N/A,Brazoria,Texas,NA,NA,NA
21,2018-10-17,200 block of Roberts St,San Antonio,,NA,TX,1,1,N/A,San Antonio,Texas,78207,29.440376,-98.527885
22,2018-10-07,4849 Haverwood Ln,Dallas,,NA,TX,1,0,N/A,Dallas,Texas,75287,33.00723,-96.823685
23,2018-10-04,Southminster Dr and Ashcroft Dr,Houston,,NA,TX,0,1,N/A,Houston,Texas,77035,29.63918,-95.49228
24,2018-10-04,Southminster Dr,Houston,,NA,TX,0,1,N/A,Houston,Texas,NA,NA,NA
25,2018-09-30,5100 block of Mountain Springs Tr,Fort Worth,,NA,TX,0,2,N/A,Fort Worth,Texas,76123,32.63876,-97.4024
26,2018-09-30,6700 block of Atasca Dr,Humble (Atascocita),,NA,TX,1,0,N/A,Humble (Atascocita),Texas,NA,NA,NA
27,2018-09-27,FM 1209,Rusk,,NA,TX,1,0,N/A,Rusk,Texas,NA,NA,NA
28,2018-08-24,Schroeder Ave,San Angelo,,NA,TX,0,1,N/A,San Angelo,Texas,NA,NA,NA
29,2018-08-13,US-90 and TX-326,Nome,,NA,TX,0,1,N/A,Nome,Texas,NA,NA,NA
30,2018-08-10,N/A,San Antonio,,NA,TX,0,1,N/A,San Antonio,Texas,NA,NA,NA
31,2018-08-08,2300 block of W Salinas,San Antonio,,NA,TX,0,1,N/A,San Antonio,Texas,78201,29.482136,-98.52597
32,2018-07-31,19435 Ambrosia Falls Dr,Tomball,,NA,TX,0,1,N/A,Tomball,Texas,NA,NA,NA
33,2018-07-24,1100 S Loop 336,Conroe,,NA,TX,1,0,N/A,Conroe,Texas,77306,30.33475,-95.4735
34,2018-07-18,CR 418,Premont,,NA,TX,0,1,N/A,Premont,Texas,NA,NA,NA
35,2018-07-11,7109 W Loop 1604 N,San Antonio,,NA,TX,0,1,N/A,San Antonio,Texas,NA,NA,NA
36,2018-07-10,31700 block of Dunham Lake Dr,Cypress,,NA,TX,0,1,N/A,Cypress,Texas,NA,NA,NA
37,2018-07-08,5518 Culebra Rd,San Antonio,,NA,TX,0,1,N/A,San Antonio,Texas,78228,29.448483,-98.5974
38,2018-07-08,8400 block of Knox St,Houston,,NA,TX,1,0,N/A,Houston,Texas,77088,29.876669,-95.42695
39,2018-06-09,N/A,Roby,,NA,TX,0,1,N/A,Roby,Texas,NA,NA,NA
40,2018-06-05,TX 207 and Franklin St,Borger,,NA,TX,1,1,N/A,Borger,Texas,NA,NA,NA
41,2018-05-20,10900 block of Telephone Rd,Houston,,NA,TX,0,1,N/A,Houston,Texas,77075,29.607872,-95.28587
42,2018-05-12,1100 block of Fairview Dr,Rockwall,,NA,TX,1,0,N/A,Rockwall,Texas,NA,NA,NA
43,2018-04-30,N/A,Christine,,NA,TX,1,1,N/A,Christine,Texas,NA,NA,NA
44,2018-04-10,11300 block of Roszell St,San Antonio,,NA,TX,0,1,N/A,San Antonio,Texas,78217,29.54178,-98.41384
45,2018-04-09,N Dale St,Stephenville,,NA,TX,0,1,N/A,Stephenville,Texas,NA,NA,NA
46,2018-03-22,306 S 25th St,Temple,,NA,TX,0,1,N/A,Temple,Texas,76504,31.097166,-97.35536
47,2018-03-21,TX 7,Martinsville,,NA,TX,1,0,N/A,Martinsville,Texas,NA,NA,NA
48,2018-03-12,1300 block of Loop Rd,Beaumont,,NA,TX,0,1,N/A,Beaumont,Texas,NA,NA,NA
49,2018-02-28,2700 block of Waldron Rd,Corpus Christi,,NA,TX,0,1,N/A,Corpus Christi,Texas,78418,27.641708,-97.29911
50,2018-02-20,7100 block of Dale Rd,El Paso,,NA,TX,1,0,N/A,El Paso,Texas,79915,31.758146,-106.387856
51,2018-02-15,4721 S Cooper St,Arlington,,NA,TX,0,1,N/A,Arlington,Texas,76001,32.670002,-97.13435
52,2018-02-08,5010 I-27,Lubbock,,NA,TX,1,0,N/A,Lubbock,Texas,79407,33.569355,-101.91915
53,2018-02-05,Albany Dr,Mabank,,NA,TX,0,1,N/A,Mabank,Texas,NA,NA,NA
54,2018-02-04,N/A,Texarkana,,NA,TX,0,1,N/A,Texarkana,Texas,NA,NA,NA
55,2018-01-28,1400 block of W Gulf Bank Rd,Houston,,NA,TX,1,0,N/A,Houston,Texas,77020,29.774157,-95.34575
56,2018-01-28,1100 block of W St Francis St,Brownsville,,NA,TX,0,1,N/A,Brownsville,Texas,NA,NA,NA
57,2018-01-27,Lynn Cir and 29th St,Texas City,,NA,TX,1,0,N/A,Texas City,Texas,77590,29.393187,-94.93723
58,2018-01-24,3900 block of Lawnwood St,Fort Worth,,NA,TX,1,0,N/A,Fort Worth,Texas,76111,32.761204,-97.29038
59,2018-01-05,8125 Mills Rd,Houston,,NA,TX,0,1,N/A,Houston,Texas,77064,29.954813,-95.55124
60,2017-12-30,1000 block of E Walnut St,Hillsboro,,NA,TX,1,0,N/A,Hillsboro,Texas,NA,NA,NA
61,2017-12-17,1500 block of Wilson,Deer Park,,NA,TX,1,0,N/A,Deer Park,Texas,77536,29.685146,-95.10925
62,2017-11-28,6300 block of Feather Creek Dr,Houston,,NA,TX,0,1,N/A,Houston,Texas,NA,NA,NA
63,2017-11-24,8000 block of Grow Ln,Houston,,NA,TX,0,1,N/A,Houston,Texas,77040,29.848763,-95.51287
64,2017-11-24,N/A,Bulverde,,NA,TX,1,0,N/A,Bulverde,Texas,NA,NA,NA
65,2017-11-21,110 Mercedes Street,San Antonio,,NA,TX,0,1,N/A,San Antonio,Texas,78207,29.405758,-98.519165
66,2017-11-18,9000 block of CR 245,Concepcion,,NA,TX,1,0,N/A,Concepcion,Texas,NA,NA,NA
67,2017-11-08,2600 block of FM 418,Kountze,,NA,TX,1,0,N/A,Kountze,Texas,NA,NA,NA
68,2017-10-28,5400 block of Wilson Rd,Fort Worth,,NA,TX,1,0,N/A,Fort Worth,Texas,76140,32.619984,-97.24376
69,2017-10-17,8000 block of Boone St,Houston,,NA,TX,0,1,N/A,Houston,Texas,77072,29.691133,-95.57469
70,2017-10-03,Whitehurst Dr and Skillman St,Dallas,,NA,TX,1,0,N/A,Dallas,Texas,75243,32.898624,-96.71911
71,2017-09-30,CR 3560,Cleveland (Plum Grove),,NA,TX,1,0,N/A,Cleveland (Plum Grove),Texas,NA,NA,NA
72,2017-09-28,19000 block of Highland,Tornillo,,NA,TX,1,0,N/A,Tornillo,Texas,79853,31.452457,-106.08667
73,2017-09-26,3700 block of Burning Tree Ln,Garland,,NA,TX,1,0,N/A,Garland,Texas,75042,32.925095,-96.68618
74,2017-09-19,5000 block of CR 48,Manvel,,NA,TX,1,0,N/A,Manvel,Texas,NA,NA,NA
75,2017-09-16,Highway 770 North,Saratoga,,NA,TX,0,1,N/A,Saratoga,Texas,NA,NA,NA
76,2017-09-05,500 block of Park Grove Dr,San Antonio,,NA,TX,0,1,N/A,San Antonio,Texas,78227,29.42947,-98.621635
77,2017-09-02,3500 block of Parker Rd E,Haltom City,,NA,TX,1,0,N/A,Haltom City,Texas,76117,32.814774,-97.27149
78,2017-08-28,9500 block of Timber Trail,Scurry,,NA,TX,1,0,N/A,Scurry,Texas,NA,NA,NA
79,2017-08-10,10806 Cobblecreek Way,Missouri City,,NA,TX,0,1,N/A,Missouri City,Texas,NA,NA,NA
80,2017-08-07,1509 Trigg Ln,Wichita Falls,,NA,TX,1,0,N/A,Wichita Falls,Texas,76306,33.96664,-98.5152
81,2017-08-06,400 block of E San Antonio St,New Braunfels,,NA,TX,0,2,N/A,New Braunfels,Texas,NA,NA,NA
82,2017-08-04,6200 block of Big Valley Dr,San Antonio,,NA,TX,1,0,N/A,San Antonio,Texas,78242,29.354305,-98.62514
83,2017-07-31,22900 block of Cielo Vista Dr,San Antonio,,NA,TX,0,1,N/A,San Antonio,Texas,78255,29.658318,-98.63312
84,2017-07-30,4700 block of 6th St,Bacliff,,NA,TX,1,0,N/A,Bacliff,Texas,77518,29.505701,-94.98287
85,2017-07-22,3100 block of Stag Road,Dallas,,NA,TX,0,1,N/A,Dallas,Texas,75241,32.693417,-96.76614
86,2017-07-21,200 block of Baker,Houston,,NA,TX,0,1,N/A,Houston,Texas,77094,29.783363,-95.70194
87,2017-07-20,19900 block of River Brook Dr,Humble (Atascocita),,NA,TX,1,0,N/A,Humble (Atascocita),Texas,NA,NA,NA
88,2017-07-19,1800 block of Edmund Blvd,San Angelo,,NA,TX,1,0,N/A,San Angelo,Texas,76901,31.477268,-100.47441
89,2017-07-19,1300 block of E Garnett,Gainesville,,NA,TX,0,1,N/A,Gainesville,Texas,NA,NA,NA
90,2017-07-06,234 RR 1050,Concan,,NA,TX,0,3,N/A,Concan,Texas,NA,NA,NA
91,2017-07-04,3134 Mission Gate,San Antonio,,NA,TX,1,0,N/A,San Antonio,Texas,78214,29.364893,-98.484184
92,2017-07-02,600 block of County Rd L,Lamesa,,NA,TX,0,1,N/A,Lamesa,Texas,NA,NA,NA
93,2017-06-26,Amos St,Houston,,NA,TX,0,1,N/A,Houston,Texas,NA,NA,NA
94,2017-06-12,CR 2342,Dayton,,NA,TX,1,0,N/A,Dayton,Texas,NA,NA,NA
95,2017-06-01,13800 block of Northlake Dr,Houston,,NA,TX,1,0,N/A,Houston,Texas,77049,29.81486,-95.20306
96,2017-05-22,700 block of E. Harris,San Angelo,,NA,TX,0,1,N/A,San Angelo,Texas,NA,NA,NA
97,2017-05-14,9230 Saint Lo,Houston,,NA,TX,0,1,N/A,Houston,Texas,77033,29.6492,-95.34154
98,2017-05-12,1601 W 11th Place,Big Spring,,NA,TX,1,0,N/A,Big Spring,Texas,79720,32.240154,-101.49167
99,2017-05-07,N/A,Palestine,,NA,TX,0,1,N/A,Palestine,Texas,NA,NA,NA
100,2017-05-05,800 block of Upton St,San Angelo,,NA,TX,0,1,N/A,San Angelo,Texas,76903,31.472158,-100.42407
101,2017-04-28,2200 block of S Indiana,Brownsville,,NA,TX,0,1,N/A,Brownsville,Texas,NA,NA,NA
102,2017-04-25,71st St and Utica Ave,Lubbock,,NA,TX,0,1,N/A,Lubbock,Texas,79424,33.52899,-101.91372
103,2017-04-19,1200 W 8th St,Freeport,,NA,TX,1,0,N/A,Freeport,Texas,77541,28.94872,-95.36331
104,2017-04-13,21323 Finbury Oaks Lane,Katy,,NA,TX,1,0,N/A,Katy,Texas,NA,NA,NA
105,2017-04-02,1000 block of Vaky St,Corpus Christi,,NA,TX,1,0,N/A,Corpus Christi,Texas,78404,27.756693,-97.397
106,2017-04-02,24100 block of Acanthus,San Antonio,,NA,TX,0,1,N/A,San Antonio,Texas,NA,NA,NA
107,2017-03-23,200 block of FM 1534,Whitney,,NA,TX,1,0,N/A,Whitney,Texas,NA,NA,NA
108,2017-03-23,800 block of W Green Ave,Killeen,,NA,TX,1,0,N/A,Killeen,Texas,NA,NA,NA
109,2017-03-22,4002 Corder St,Houston,,NA,TX,2,0,N/A,Houston,Texas,77021,29.685568,-95.36218
110,2017-03-22,400 Block of Hardy Circle,El Paso,,NA,TX,1,0,N/A,El Paso,Texas,79905,31.771141,-106.41049
111,2017-03-17,4860 SW Loop 820,Fort Worth,,NA,TX,0,2,N/A,Fort Worth,Texas,76109,32.682907,-97.3967
112,2017-03-16,N/A,Fort Worth,,NA,TX,0,1,N/A,Fort Worth,Texas,NA,NA,NA
113,2017-03-12,700 block of Hatton Hill Lane,Austin,,NA,TX,0,1,N/A,Austin,Texas,NA,NA,NA
114,2017-03-10,21300 block of Greenham Dr.,Spring,,NA,TX,1,0,N/A,Spring,Texas,77388,30.073519,-95.46602
115,2017-01-02,1600 Block of North 8th Street,Lamesa,,NA,TX,0,1,N/A,Lamesa,Texas,NA,NA,NA
116,2016-12-31,4235 Oak Shadows,Houston,,NA,TX,1,0,N/A,Houston,Texas,77091,29.843706,-95.45008
117,2016-12-29,500 block of FM 843,Lufkin,,NA,TX,0,1,N/A,Lufkin,Texas,NA,NA,NA
118,2016-12-17,9th Street and Colcord Avenue,Waco,,NA,TX,0,1,N/A,Waco,Texas,76707,31.56194,-97.145386
119,2016-12-12,700 Dominik Drive,College Station,,NA,TX,0,1,N/A,College Station,Texas,77840,30.622826,-96.317245
120,2016-11-28,406 W Martinez St,Del Rio,,NA,TX,2,0,N/A,Del Rio,Texas,78840,29.353983,-100.87978
121,2016-10-21,Central Park Lane,College Station,,NA,TX,0,1,N/A,College Station,Texas,NA,NA,NA
122,2016-10-03,1416 Meadowlane Terrace,Fort Worth,,NA,TX,0,1,N/A,Fort Worth,Texas,76112,32.75877,-97.20361
123,2016-09-29,3712 North Elm Street,Fort Worth,,NA,TX,1,0,N/A,Fort Worth,Texas,76106,32.810688,-97.343765
124,2016-09-16,N/A,,,Harris,TX,0,1,N/A,Harris (county),Texas,NA,NA,NA
125,2016-09-12,1200 block of Susan Avenue,Fort Worth,,NA,TX,0,1,N/A,Fort Worth,Texas,76120,32.76274,-97.16231
126,2016-09-08,704 West Sul Ross Ave,Alpine,,NA,TX,1,2,N/A,Alpine,Texas,79830,30.357546,-103.66812
127,2016-09-06,200 Bowser Cir,Terrell,,NA,TX,0,1,N/A,Terrell,Texas,75160,32.736126,-96.28488
128,2016-09-05,200 block of Los Ranchitos,San Benito,,NA,TX,1,0,N/A,San Benito,Texas,78586,26.033361,-97.638756
129,2016-08-27,500 block of Doherty Street,San Benito,,NA,TX,1,0,N/A,San Benito,Texas,78586,26.141857,-97.635704
130,2016-08-07,300 block of Breckenridge Street,Texarkana,,NA,TX,0,1,N/A,Texarkana,Texas,75501,33.43952,-94.08706
131,2016-07-31,300 block of De Haven St,Houston,,NA,TX,1,0,N/A,Houston,Texas,77029,29.738173,-95.25661
132,2016-07-28,4000 block of East Texas 6,Alvin,,NA,TX,0,1,N/A,Alvin,Texas,NA,NA,NA
133,2016-07-27,3600 block of Hulen Park Circle,Fort Worth,,NA,TX,0,1,N/A,Fort Worth,Texas,76123,32.625923,-97.37087
